existingchecking	duration	credithistory	purpose	creditamount	savings	employmentsince	installmentrate	otherdebts	residencesince	property	otherinstallmentplans	housing	existingcredits	job	peopleliable	telephone	foreignworker	classification	gender
no checking account	24	critical accnt. / other credits	radio/tv	5103	x < 100 DM	x < 1 year	3	none	3	unknown	none	for free	3	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	36	delay	business	9857	100 <= x < 500 DM	4 <= x < 7 years	1	none	3	soc. savings / life insurance	none	own	2	unskilled-resident	2	yes	yes	1	M
no checking account	60	existing credits paid	new car	6527	unknown	1 <= x < 4 years	4	none	4	unknown	none	for free	1	skilled employee / official	2	yes	yes	1	M
x >= 200DM	10	critical accnt. / other credits	radio/tv	1347	unknown	4 <= x < 7 years	4	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	36	delay	new car	2862	100 <= x < 500 DM	x >= 7 years	4	none	3	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
no checking account	9	existing credits paid	radio/tv	2753	100 <= x < 500 DM	x >= 7 years	3	co-applicant	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	12	existing credits paid	new car	3651	x >= 1000 DM	1 <= x < 4 years	1	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	15	critical accnt. / other credits	forniture	975	x < 100 DM	1 <= x < 4 years	2	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	15	existing credits paid	repairs	2631	100 <= x < 500 DM	1 <= x < 4 years	3	none	2	real estate	none	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	24	existing credits paid	radio/tv	2896	100 <= x < 500 DM	x < 1 year	2	none	1	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	6	critical accnt. / other credits	new car	4716	unknown	x < 1 year	1	none	3	real estate	none	own	2	unskilled-resident	2	none	yes	1	M
no checking account	24	existing credits paid	radio/tv	2284	x < 100 DM	4 <= x < 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	6	existing credits paid	used car	1236	500 <= x < 1000 DM	1 <= x < 4 years	2	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	1103	x < 100 DM	4 <= x < 7 years	4	guarantor	3	real estate	none	own	2	skilled employee / official	1	none	no	1	M
no checking account	12	critical accnt. / other credits	new car	926	x < 100 DM	unemployed	1	none	2	soc. savings / life insurance	none	own	1	unemployed / unskilled-non-resident	1	none	yes	1	F
no checking account	18	critical accnt. / other credits	radio/tv	1800	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
x >= 200DM	15	existing credits paid	education	1905	x < 100 DM	x >= 7 years	4	none	4	car or other	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	12	existing credits paid	forniture	1123	500 <= x < 1000 DM	1 <= x < 4 years	4	none	4	car or other	none	rent	1	unskilled-resident	1	none	yes	0	F
x < 0 DM	48	critical accnt. / other credits	used car	6331	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	2	skilled employee / official	1	yes	yes	0	M
x >= 200DM	24	existing credits paid	radio/tv	1377	100 <= x < 500 DM	x >= 7 years	4	none	2	unknown	none	for free	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	30	delay	business	2503	100 <= x < 500 DM	x >= 7 years	4	none	2	soc. savings / life insurance	stores	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	27	existing credits paid	business	2528	x < 100 DM	x < 1 year	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	2	yes	yes	1	F
no checking account	15	existing credits paid	new car	5324	500 <= x < 1000 DM	x >= 7 years	1	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	48	existing credits paid	new car	6560	100 <= x < 500 DM	4 <= x < 7 years	3	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	12	no credits	forniture	2969	x < 100 DM	x < 1 year	4	none	3	soc. savings / life insurance	none	rent	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	9	existing credits paid	radio/tv	1206	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	9	existing credits paid	radio/tv	2118	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	unskilled-resident	2	none	yes	1	M
no checking account	18	critical accnt. / other credits	radio/tv	629	500 <= x < 1000 DM	x >= 7 years	4	none	3	soc. savings / life insurance	bank	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	6	all credits paid	education	1198	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	0	F
no checking account	21	existing credits paid	used car	2476	unknown	x >= 7 years	4	none	4	real estate	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	9	critical accnt. / other credits	radio/tv	1138	x < 100 DM	1 <= x < 4 years	4	none	4	real estate	none	own	2	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	60	existing credits paid	new car	14027	x < 100 DM	4 <= x < 7 years	4	none	2	unknown	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	30	critical accnt. / other credits	used car	7596	unknown	x >= 7 years	1	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	30	critical accnt. / other credits	radio/tv	3077	unknown	x >= 7 years	3	none	2	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
no checking account	18	existing credits paid	radio/tv	1505	x < 100 DM	1 <= x < 4 years	4	none	2	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x >= 200DM	24	critical accnt. / other credits	radio/tv	3148	unknown	1 <= x < 4 years	3	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	20	no credits	used car	6148	100 <= x < 500 DM	x >= 7 years	3	none	4	car or other	bank	own	2	skilled employee / official	1	yes	yes	1	M
x >= 200DM	9	no credits	radio/tv	1337	x < 100 DM	x < 1 year	4	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
0 <= x < 200 DM	6	all credits paid	education	433	x >= 1000 DM	x < 1 year	4	none	2	soc. savings / life insurance	bank	rent	1	skilled employee / official	2	none	yes	0	F
x < 0 DM	12	existing credits paid	new car	1228	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	1	unskilled-resident	1	none	yes	0	F
0 <= x < 200 DM	9	existing credits paid	radio/tv	790	500 <= x < 1000 DM	1 <= x < 4 years	4	none	3	real estate	none	own	1	unskilled-resident	1	none	yes	1	F
no checking account	27	existing credits paid	new car	2570	x < 100 DM	1 <= x < 4 years	3	none	3	real estate	none	rent	1	skilled employee / official	1	none	yes	0	F
no checking account	6	critical accnt. / other credits	new car	250	x >= 1000 DM	1 <= x < 4 years	2	none	2	real estate	bank	own	2	unskilled-resident	1	none	yes	1	F
no checking account	15	critical accnt. / other credits	radio/tv	1316	500 <= x < 1000 DM	1 <= x < 4 years	2	none	2	soc. savings / life insurance	none	own	2	unskilled-resident	1	none	yes	1	M
x < 0 DM	18	existing credits paid	radio/tv	1882	x < 100 DM	1 <= x < 4 years	4	none	4	car or other	bank	rent	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	48	all credits paid	business	6416	x < 100 DM	x >= 7 years	4	none	3	unknown	none	rent	1	skilled employee / official	1	none	yes	0	F
x >= 200DM	24	critical accnt. / other credits	business	1275	x >= 1000 DM	1 <= x < 4 years	2	none	4	real estate	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	24	delay	radio/tv	6403	x < 100 DM	x < 1 year	1	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	24	existing credits paid	radio/tv	1987	x < 100 DM	1 <= x < 4 years	2	none	4	real estate	none	rent	1	unskilled-resident	2	none	yes	0	M
0 <= x < 200 DM	8	existing credits paid	radio/tv	760	x < 100 DM	4 <= x < 7 years	4	guarantor	2	real estate	none	own	1	unskilled-resident	1	none	yes	1	F
no checking account	24	existing credits paid	used car	2603	x >= 1000 DM	1 <= x < 4 years	2	none	4	car or other	none	rent	1	skilled employee / official	1	yes	yes	1	F
no checking account	4	critical accnt. / other credits	new car	3380	x < 100 DM	4 <= x < 7 years	1	none	1	real estate	none	own	1	skilled employee / official	2	none	yes	1	F
0 <= x < 200 DM	36	all credits paid	appliances	3990	unknown	x < 1 year	3	none	2	unknown	bank	own	1	unemployed / unskilled-non-resident	1	none	yes	1	F
0 <= x < 200 DM	24	existing credits paid	used car	11560	x < 100 DM	1 <= x < 4 years	1	none	4	car or other	none	rent	2	management / self-employed / highly qualified employee / officer	1	none	yes	0	F
x < 0 DM	18	existing credits paid	new car	4380	100 <= x < 500 DM	1 <= x < 4 years	3	none	4	car or other	none	own	1	unskilled-resident	2	yes	yes	1	M
no checking account	6	critical accnt. / other credits	new car	6761	x < 100 DM	4 <= x < 7 years	1	none	3	unknown	none	own	2	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
0 <= x < 200 DM	30	no credits	business	4280	100 <= x < 500 DM	1 <= x < 4 years	4	none	4	car or other	none	rent	2	unskilled-resident	1	none	yes	0	F
x < 0 DM	24	all credits paid	new car	2325	100 <= x < 500 DM	4 <= x < 7 years	2	none	3	car or other	bank	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	10	all credits paid	radio/tv	1048	x < 100 DM	1 <= x < 4 years	4	none	4	real estate	stores	own	1	unskilled-resident	1	none	yes	1	M
no checking account	21	existing credits paid	radio/tv	3160	unknown	x >= 7 years	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	24	all credits paid	forniture	2483	500 <= x < 1000 DM	1 <= x < 4 years	4	none	4	real estate	stores	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	39	critical accnt. / other credits	forniture	14179	unknown	4 <= x < 7 years	4	none	4	soc. savings / life insurance	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	13	critical accnt. / other credits	business	1797	x < 100 DM	x < 1 year	3	none	1	soc. savings / life insurance	bank	own	2	unskilled-resident	1	none	yes	1	M
x < 0 DM	15	existing credits paid	new car	2511	x < 100 DM	unemployed	1	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	12	existing credits paid	new car	1274	x < 100 DM	x < 1 year	3	none	1	real estate	none	own	1	unskilled-resident	1	none	yes	0	F
no checking account	21	existing credits paid	used car	5248	unknown	1 <= x < 4 years	1	none	3	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	15	existing credits paid	used car	3029	x < 100 DM	4 <= x < 7 years	2	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	6	existing credits paid	forniture	428	x < 100 DM	x >= 7 years	2	none	1	soc. savings / life insurance	bank	own	1	skilled employee / official	1	yes	yes	1	F
x < 0 DM	18	existing credits paid	new car	976	x < 100 DM	x < 1 year	1	none	2	car or other	none	own	1	unskilled-resident	1	none	yes	0	F
0 <= x < 200 DM	12	existing credits paid	business	841	100 <= x < 500 DM	4 <= x < 7 years	2	none	4	real estate	none	rent	1	unskilled-resident	1	none	yes	1	F
no checking account	30	critical accnt. / other credits	radio/tv	5771	x < 100 DM	4 <= x < 7 years	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	12	delay	repairs	1555	x >= 1000 DM	x >= 7 years	4	none	4	unknown	none	for free	2	skilled employee / official	2	none	yes	0	M
x < 0 DM	24	existing credits paid	new car	1285	unknown	4 <= x < 7 years	4	none	4	unknown	none	rent	1	skilled employee / official	1	none	yes	0	F
x >= 200DM	6	critical accnt. / other credits	new car	1299	x < 100 DM	1 <= x < 4 years	1	none	1	real estate	none	own	3	unemployed / unskilled-non-resident	2	none	no	1	M
x >= 200DM	15	critical accnt. / other credits	radio/tv	1271	unknown	1 <= x < 4 years	3	none	4	unknown	none	for free	2	skilled employee / official	1	yes	yes	0	M
no checking account	24	existing credits paid	new car	1393	x < 100 DM	1 <= x < 4 years	2	guarantor	2	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
x < 0 DM	12	critical accnt. / other credits	new car	691	x < 100 DM	x >= 7 years	4	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	0	M
no checking account	15	critical accnt. / other credits	new car	5045	unknown	x >= 7 years	1	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
x < 0 DM	18	critical accnt. / other credits	forniture	2124	x < 100 DM	1 <= x < 4 years	4	none	4	real estate	none	rent	2	skilled employee / official	1	none	yes	0	F
x < 0 DM	12	existing credits paid	radio/tv	2214	x < 100 DM	1 <= x < 4 years	4	none	3	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	1	M
no checking account	21	critical accnt. / other credits	new car	12680	unknown	x >= 7 years	4	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	24	critical accnt. / other credits	new car	2463	100 <= x < 500 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	12	existing credits paid	radio/tv	1155	x < 100 DM	x >= 7 years	3	guarantor	3	real estate	bank	own	2	unskilled-resident	1	none	yes	1	M
x < 0 DM	30	existing credits paid	forniture	3108	x < 100 DM	x < 1 year	2	none	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	0	M
no checking account	10	existing credits paid	used car	2901	unknown	x < 1 year	1	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	12	critical accnt. / other credits	forniture	3617	x < 100 DM	x >= 7 years	1	none	4	car or other	none	rent	3	skilled employee / official	1	yes	yes	1	M
no checking account	12	critical accnt. / other credits	radio/tv	1655	x < 100 DM	x >= 7 years	2	none	4	real estate	none	own	2	unskilled-resident	1	yes	yes	1	M
x < 0 DM	24	existing credits paid	used car	2812	unknown	x >= 7 years	2	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	36	critical accnt. / other credits	education	8065	x < 100 DM	1 <= x < 4 years	3	none	2	unknown	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
no checking account	21	critical accnt. / other credits	used car	3275	x < 100 DM	x >= 7 years	1	none	4	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	24	critical accnt. / other credits	radio/tv	2223	100 <= x < 500 DM	x >= 7 years	4	none	4	soc. savings / life insurance	bank	own	2	skilled employee / official	1	none	yes	1	M
x >= 200DM	12	critical accnt. / other credits	new car	1480	500 <= x < 1000 DM	unemployed	2	none	4	unknown	bank	for free	3	unemployed / unskilled-non-resident	1	none	yes	1	M
x < 0 DM	24	existing credits paid	new car	1371	unknown	1 <= x < 4 years	4	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	0	F
no checking account	36	critical accnt. / other credits	new car	3535	x < 100 DM	4 <= x < 7 years	4	none	4	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	18	existing credits paid	radio/tv	3509	x < 100 DM	4 <= x < 7 years	4	guarantor	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	36	critical accnt. / other credits	used car	5711	x >= 1000 DM	x >= 7 years	4	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	18	existing credits paid	repairs	3872	x < 100 DM	unemployed	2	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	39	critical accnt. / other credits	radio/tv	4933	x < 100 DM	4 <= x < 7 years	2	guarantor	2	real estate	none	own	2	skilled employee / official	1	none	yes	0	M
no checking account	24	critical accnt. / other credits	new car	1940	x >= 1000 DM	x >= 7 years	4	none	4	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	12	no credits	retraining	1410	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	unskilled-resident	1	yes	yes	1	M
0 <= x < 200 DM	12	existing credits paid	new car	836	100 <= x < 500 DM	x < 1 year	4	none	2	soc. savings / life insurance	bank	own	1	unskilled-resident	1	none	yes	0	F
0 <= x < 200 DM	20	existing credits paid	used car	6468	unknown	unemployed	1	none	4	real estate	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	18	existing credits paid	business	1941	x >= 1000 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	1	unskilled-resident	1	yes	yes	1	M
no checking account	22	existing credits paid	radio/tv	2675	500 <= x < 1000 DM	x >= 7 years	3	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	48	critical accnt. / other credits	used car	2751	unknown	x >= 7 years	4	none	3	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
0 <= x < 200 DM	48	delay	education	6224	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	40	critical accnt. / other credits	education	5998	x < 100 DM	1 <= x < 4 years	4	none	3	unknown	bank	own	1	skilled employee / official	1	yes	yes	0	M
0 <= x < 200 DM	21	existing credits paid	business	1188	x < 100 DM	x >= 7 years	2	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	2	none	yes	0	F
no checking account	24	existing credits paid	used car	6313	unknown	x >= 7 years	3	none	4	car or other	none	own	1	management / self-employed / highly qualified employee / officer	2	yes	yes	1	M
no checking account	6	critical accnt. / other credits	forniture	1221	unknown	1 <= x < 4 years	1	none	2	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
x >= 200DM	24	existing credits paid	forniture	2892	x < 100 DM	x >= 7 years	3	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	forniture	3062	500 <= x < 1000 DM	x >= 7 years	4	none	3	unknown	none	rent	1	skilled employee / official	1	yes	yes	1	M
no checking account	9	existing credits paid	forniture	2301	100 <= x < 500 DM	x < 1 year	2	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	18	existing credits paid	used car	7511	unknown	x >= 7 years	1	none	4	soc. savings / life insurance	none	for free	1	skilled employee / official	2	yes	yes	0	M
no checking account	12	critical accnt. / other credits	forniture	1258	x < 100 DM	x < 1 year	2	none	4	soc. savings / life insurance	none	rent	2	unskilled-resident	1	none	yes	1	F
no checking account	24	delay	new car	717	unknown	x >= 7 years	4	none	4	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	9	existing credits paid	new car	1549	unknown	x < 1 year	4	none	2	real estate	none	own	1	unemployed / unskilled-non-resident	1	none	yes	1	M
no checking account	24	critical accnt. / other credits	education	1597	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	2	skilled employee / official	2	none	yes	1	M
0 <= x < 200 DM	18	critical accnt. / other credits	radio/tv	1795	x < 100 DM	x >= 7 years	3	guarantor	4	real estate	bank	rent	2	unskilled-resident	1	yes	yes	1	F
x < 0 DM	20	critical accnt. / other credits	forniture	4272	x < 100 DM	x >= 7 years	1	none	4	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	12	critical accnt. / other credits	radio/tv	976	unknown	x >= 7 years	4	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	new car	7472	unknown	unemployed	1	none	2	real estate	none	rent	1	unemployed / unskilled-non-resident	1	none	yes	1	F
x < 0 DM	36	existing credits paid	new car	9271	x < 100 DM	4 <= x < 7 years	2	none	1	car or other	none	own	1	skilled employee / official	1	yes	yes	0	M
0 <= x < 200 DM	6	existing credits paid	radio/tv	590	x < 100 DM	x < 1 year	3	none	3	real estate	none	own	1	unskilled-resident	1	none	no	1	M
no checking account	12	critical accnt. / other credits	radio/tv	930	unknown	x >= 7 years	4	none	4	real estate	none	own	4	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	42	all credits paid	used car	9283	x < 100 DM	unemployed	1	none	2	unknown	bank	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	15	no credits	new car	1778	x < 100 DM	x < 1 year	2	none	1	real estate	none	rent	2	unemployed / unskilled-non-resident	1	none	yes	0	F
0 <= x < 200 DM	8	existing credits paid	business	907	x < 100 DM	x < 1 year	3	none	2	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	6	existing credits paid	radio/tv	484	x < 100 DM	4 <= x < 7 years	3	guarantor	3	real estate	bank	own	1	unskilled-resident	1	none	yes	1	M
x < 0 DM	36	critical accnt. / other credits	used car	9629	x < 100 DM	4 <= x < 7 years	4	none	4	car or other	none	own	2	skilled employee / official	1	yes	yes	0	M
x < 0 DM	48	existing credits paid	appliances	3051	x < 100 DM	1 <= x < 4 years	3	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	48	existing credits paid	new car	3931	x < 100 DM	4 <= x < 7 years	4	none	4	unknown	none	for free	1	skilled employee / official	2	none	yes	0	M
0 <= x < 200 DM	36	delay	new car	7432	x < 100 DM	1 <= x < 4 years	2	none	2	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	1	F
no checking account	6	existing credits paid	appliances	1338	500 <= x < 1000 DM	1 <= x < 4 years	1	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	6	critical accnt. / other credits	radio/tv	1554	x < 100 DM	4 <= x < 7 years	1	none	2	car or other	none	rent	2	skilled employee / official	1	yes	yes	1	F
x < 0 DM	36	existing credits paid	others	15857	x < 100 DM	unemployed	2	co-applicant	3	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
x < 0 DM	18	existing credits paid	radio/tv	1345	x < 100 DM	1 <= x < 4 years	4	none	3	real estate	bank	own	1	skilled employee / official	1	none	yes	0	M
no checking account	12	existing credits paid	new car	1101	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	own	2	skilled employee / official	1	yes	yes	1	M
x >= 200DM	12	existing credits paid	radio/tv	3016	x < 100 DM	1 <= x < 4 years	3	none	1	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	36	existing credits paid	forniture	2712	x < 100 DM	x >= 7 years	2	none	2	soc. savings / life insurance	bank	own	1	skilled employee / official	2	none	yes	0	M
x < 0 DM	8	critical accnt. / other credits	new car	731	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	2	unskilled-resident	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	forniture	3780	x < 100 DM	x < 1 year	3	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x < 0 DM	21	critical accnt. / other credits	new car	1602	x < 100 DM	x >= 7 years	4	none	3	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	18	critical accnt. / other credits	new car	3966	x < 100 DM	x >= 7 years	1	none	4	real estate	bank	rent	3	skilled employee / official	1	yes	yes	0	F
no checking account	18	no credits	business	4165	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	stores	own	2	skilled employee / official	2	none	yes	0	M
x < 0 DM	36	existing credits paid	used car	8335	unknown	x >= 7 years	3	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	48	delay	business	6681	unknown	1 <= x < 4 years	4	none	4	unknown	none	for free	1	skilled employee / official	2	yes	yes	1	M
no checking account	24	delay	business	2375	500 <= x < 1000 DM	1 <= x < 4 years	4	none	2	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
x < 0 DM	18	existing credits paid	new car	1216	x < 100 DM	x < 1 year	4	none	3	car or other	none	rent	1	skilled employee / official	1	yes	yes	0	F
x < 0 DM	45	no credits	business	11816	x < 100 DM	x >= 7 years	2	none	4	car or other	none	rent	2	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	24	existing credits paid	radio/tv	5084	unknown	x >= 7 years	2	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
x >= 200DM	15	existing credits paid	radio/tv	2327	x < 100 DM	x < 1 year	2	none	3	real estate	none	own	1	unskilled-resident	1	none	yes	0	F
x < 0 DM	12	no credits	new car	1082	x < 100 DM	1 <= x < 4 years	4	none	4	car or other	bank	own	2	skilled employee / official	1	none	yes	0	M
no checking account	12	existing credits paid	radio/tv	886	unknown	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	4	existing credits paid	forniture	601	x < 100 DM	x < 1 year	1	none	3	real estate	none	rent	1	unskilled-resident	2	none	yes	1	F
x < 0 DM	24	critical accnt. / other credits	used car	2957	x < 100 DM	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	24	critical accnt. / other credits	radio/tv	2611	x < 100 DM	x >= 7 years	4	co-applicant	3	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	36	existing credits paid	forniture	5179	x < 100 DM	4 <= x < 7 years	4	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	M
no checking account	21	delay	used car	2993	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	stores	own	2	unskilled-resident	1	none	yes	1	M
no checking account	18	existing credits paid	repairs	1943	x < 100 DM	x < 1 year	4	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	0	F
no checking account	24	all credits paid	business	1559	x < 100 DM	4 <= x < 7 years	4	none	4	car or other	bank	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	18	existing credits paid	forniture	3422	x < 100 DM	x >= 7 years	4	none	4	soc. savings / life insurance	bank	own	3	skilled employee / official	2	yes	yes	1	M
0 <= x < 200 DM	21	existing credits paid	forniture	3976	unknown	4 <= x < 7 years	2	none	3	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	18	existing credits paid	new car	6761	unknown	1 <= x < 4 years	2	none	4	car or other	none	rent	2	skilled employee / official	1	none	yes	0	M
no checking account	24	existing credits paid	new car	1249	x < 100 DM	x < 1 year	4	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	9	existing credits paid	radio/tv	1364	x < 100 DM	4 <= x < 7 years	3	none	4	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	12	existing credits paid	radio/tv	709	x < 100 DM	x >= 7 years	4	none	4	real estate	stores	own	1	unskilled-resident	1	none	yes	0	M
x < 0 DM	20	critical accnt. / other credits	new car	2235	x < 100 DM	1 <= x < 4 years	4	guarantor	2	soc. savings / life insurance	bank	rent	2	skilled employee / official	1	none	no	0	M
no checking account	24	critical accnt. / other credits	used car	4042	unknown	4 <= x < 7 years	3	none	4	soc. savings / life insurance	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	15	critical accnt. / other credits	radio/tv	1471	x < 100 DM	1 <= x < 4 years	4	none	4	unknown	none	for free	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	18	all credits paid	new car	1442	x < 100 DM	4 <= x < 7 years	4	none	4	unknown	none	for free	2	unskilled-resident	2	none	yes	0	M
no checking account	36	delay	new car	10875	x < 100 DM	x >= 7 years	2	none	2	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
